dataset,model,accuracy,precision_macro,recall_macro,f1_macro,depth,leaves,train_time
Breast_cancer,Greedy tree,0.9415204678362572,0.9473603906011596,0.9281542056074766,0.9362891207153504,5.0,31.0,0.060225486755371
Breast_cancer,Roulette tree,0.9058479532163742,0.8977113587171516,0.904044976635514,0.9003481260442096,7.3,59.9,0.09912490844726558
Breast_cancer,Sklearn tree,0.935672514619883,0.9353949329359166,0.9266209112149532,0.9306543778801843,8.0,22.0,0.0019991397857666
Iris,Greedy tree,0.9111111111111112,0.9111111111111112,0.9111111111111112,0.9111111111111112,4.0,9.0,0.0029993057250976
Iris,Roulette tree,0.9222222222222222,0.9230357142857144,0.9222222222222222,0.9221653689284391,4.0,11.0,0.00346541404724116
Iris,Sklearn tree,0.9111111111111112,0.9111111111111112,0.9111111111111112,0.9111111111111112,6.0,9.0,0.0010011196136474
Mushroom,Greedy tree,1.0,1.0,1.0,1.0,4.0,24.0,0.1048898696899414
Mushroom,Roulette tree,0.9995898277276456,0.999592580125656,0.9995863277235897,0.9995892851739384,6.7,50.1,0.16837015151977536
Mushroom,Sklearn tree,1.0,1.0,1.0,1.0,7.0,14.0,0.006610631942749
